,gene_name
1424,TIAM2
1425,ATP6V1E1
1426,NKX3-1
1427,PAQR9
1428,PSAP
1429,ZC3H13
1430,GPR101
1431,NCF4
1432,MAN1A1
1433,SETMAR
1434,CAMTA1
1435,ZFC3H1
1436,ZFP36L1
1437,OR52H1
1438,RFX6
1439,REN
1440,NAT14
1441,CC2D1B
1442,FNDC10
1443,PIDD1
1444,TDP2
1445,ZNF783
1446,ZNF862
1447,TTLL13P
1448,PGAM4
1449,TUBB6
1450,AIDA
1451,ZNF705D
1452,NR4A3
1453,SYT13
1454,KRTAP5-2
1455,CCL18
1456,QTRT2
1457,ANKRD30BL
1458,DBNDD1
1459,PACSIN2
1460,FAM72B
1461,SMIM11A
1462,EXOSC9
1463,ZSCAN5C
1464,SPIDR
1465,MGAM2
1466,CTAG1A
1467,RNASEH2B
1468,RAD50
1469,PHB2
1470,ZNF180
1471,FAM71F1
1472,PRDX6
1473,PNPLA7
1474,ZNF17
1475,ARPIN
1476,TM7SF3
1477,LAMTOR4
1478,UBA3
1479,EGLN3
1480,TRADD
1481,INSIG2
1482,RP1-13P20.6
1483,SURF6
1484,AC010547.9
1485,AUNIP
1486,TBC1D25
1487,RXRB
1488,TAS2R14
1489,KCNJ13
1490,STX4
1491,HSD17B12
1492,RSAD2
1493,TMTC1
1494,PDRG1
1495,BAP1
1496,EIF3B
1497,UQCR11
1498,KRTAP10-5
1499,LYSMD4
1500,KCNG4
1501,OR2Z1
1502,PAX4
1503,SVBP
1504,PABPC4
1505,CNFN
1506,RRP8
1507,LRRTM1
1508,MT1G
1509,AC007326.13
1510,PPP1R17
1511,CCKBR
1512,RTN4R
1513,COG1
1514,SRI
1515,TMEM19
1516,EFCAB5
1517,DTD1
1518,ZNF761
1519,MIER2
1520,CAMK2N1
1521,STPG4
1522,MAGEB3
1523,LIPN
1524,TICRR
1525,ALG13
1526,MBLAC1
1527,ALDH3A2
1528,CDC42EP2
1529,SPACA7
1530,CDH1
1531,MAK
1532,SLC4A5
1533,ADGRL1
1534,SYTL2
1535,OR2AG1
1536,ALDH18A1
1537,KRTAP2-1
1538,OR4D6
1539,AC003005.4
1540,RAB18
1541,AP5B1
1542,C9orf16
1543,FBXL6
1544,PPP1R9A
1545,PRKN
1546,DMRTC2
1547,GUK1
1548,GPR107
1549,LAMC1
1550,CGA
1551,MROH2A
1552,UFD1
1553,KCNE3
1554,PTTG2
1555,KCTD19
1556,KRTAP2-4
1557,C1orf53
1558,SPEN
1559,VGLL2
1560,PTEN
1561,CCT6B
1562,SMIM30
1563,USP47
1564,FGA
1565,ITPR3
1566,COL4A6
1567,ACSBG1
1568,SLC33A1
1569,CYP1A2
1570,FOXE1
1571,CRH
1572,ZNF25
1573,ELOA3B
1574,APOBEC3C
1575,TBK1
1576,ASIC3
1577,KAT14
1578,TRMT112
1579,ZNF674
1580,KAZN
1581,GARS1
1582,CRTAM
1583,ROCK1
1584,U2SURP
1585,SLC6A2
1586,DDX3Y
1587,MRPS30
1588,PRPF4B
1589,CBY2
1590,ABHD13
1591,THOC3
1592,MFAP5
1593,KRTAP19-4
1594,KANK3
1595,FKBP7
1596,COMMD3-BMI1
1597,RAB4B-EGLN2
1598,PPP1R3A
1599,POMGNT2
1600,PEBP1
1601,GRM1
1602,CTD-2643I7.5
1603,CNOT1
1604,RBMY1F
1605,C14orf28
1606,SCAF4
1607,EMG1
1608,KCNQ1
1609,SERPINB11
1610,CTNS
1611,ORAI1
1612,KIAA0513
1613,SNRPB2
1614,HLA-E
1615,RAB42
