Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cancer_Cell_Line_Encyclopedia	CORL95 LUNG	4/324	4.070550e-01	6.392579e-01	0	0	1.242347e+00	1.116630e+00	SPHKAP;CEACAM5;ESYT3;PROM1
Cancer_Cell_Line_Encyclopedia	HOS BONE	1/52	4.074306e-01	6.392579e-01	0	0	1.945906e+00	1.747199e+00	ACTG2
Cancer_Cell_Line_Encyclopedia	HCC827 LUNG	1/52	4.074306e-01	6.392579e-01	0	0	1.945906e+00	1.747199e+00	EGFR
Cancer_Cell_Line_Encyclopedia	KE39 STOMACH	2/140	4.093351e-01	6.410341e-01	0	0	1.439174e+00	1.285501e+00	AGR3;CXCL5
Cancer_Cell_Line_Encyclopedia	NCIH211 LUNG	3/235	4.181674e-01	6.523983e-01	0	0	1.284439e+00	1.119868e+00	PTCHD1;KCNQ4;KCNH1
Cancer_Cell_Line_Encyclopedia	HUH28 BILIARY TRACT	2/143	4.197358e-01	6.523983e-01	0	0	1.408339e+00	1.222621e+00	CNN1;RYR3
Cancer_Cell_Line_Encyclopedia	PLCPRF5 LIVER	2/143	4.197358e-01	6.523983e-01	0	0	1.408339e+00	1.222621e+00	SRMS;DACT2
Cancer_Cell_Line_Encyclopedia	WM1799 SKIN	2/143	4.197358e-01	6.523983e-01	0	0	1.408339e+00	1.222621e+00	FABP7;ROPN1
Cancer_Cell_Line_Encyclopedia	SUPM2 HAEMATOPOIETIC AND LYMPHOID TISSUE	4/331	4.227648e-01	6.558781e-01	0	0	1.215315e+00	1.046313e+00	OLAH;TNXB;TPRG1;LEMD1
Cancer_Cell_Line_Encyclopedia	BICR31 UPPER AERODIGESTIVE TRACT	2/145	4.266180e-01	6.593909e-01	0	0	1.388500e+00	1.182817e+00	KRT17;KRT16
Cancer_Cell_Line_Encyclopedia	NIHOVCAR3 OVARY	2/145	4.266180e-01	6.593909e-01	0	0	1.388500e+00	1.182817e+00	DACT2;BBOX1
Cancer_Cell_Line_Encyclopedia	HLE LIVER	2/147	4.334576e-01	6.674765e-01	0	0	1.369209e+00	1.144606e+00	PADI2;RERG
Cancer_Cell_Line_Encyclopedia	HS742T BREAST	2/147	4.334576e-01	6.674765e-01	0	0	1.369209e+00	1.144606e+00	CNN1;PAMR1
Cancer_Cell_Line_Encyclopedia	COLO818 SKIN	2/148	4.368612e-01	6.702306e-01	0	0	1.359762e+00	1.126073e+00	SOX10;ROPN1
Cancer_Cell_Line_Encyclopedia	HGC27 STOMACH	2/148	4.368612e-01	6.702306e-01	0	0	1.359762e+00	1.126073e+00	ZHX1-C8ORF76;RCOR2
Cancer_Cell_Line_Encyclopedia	COLO668 LUNG	4/339	4.405955e-01	6.722088e-01	0	0	1.185806e+00	9.719195e-01	LFNG;PHGR1;POU4F1;BAIAP3
Cancer_Cell_Line_Encyclopedia	SNU8 OVARY	1/58	4.422000e-01	6.722088e-01	0	0	1.740545e+00	1.420272e+00	PI3
Cancer_Cell_Line_Encyclopedia	NCIH1975 LUNG	1/58	4.422000e-01	6.722088e-01	0	0	1.740545e+00	1.420272e+00	TTYH1
Cancer_Cell_Line_Encyclopedia	NCIH2444 LUNG	1/58	4.422000e-01	6.722088e-01	0	0	1.740545e+00	1.420272e+00	EPHB6
Cancer_Cell_Line_Encyclopedia	SKOV3 OVARY	1/58	4.422000e-01	6.722088e-01	0	0	1.740545e+00	1.420272e+00	ERBB2
